approach,mean_auc_loss,std_auc_loss
AR,0.0021072188419707645,0.003389873889166505
MR,0.0020887924615023853,0.0034659615598863196
SW,0.002415218760689218,0.003935558527821893
RegressorOnP,0.0010270201488943977,0.0020457956089625583
RegressorOnR,0.0010154146721740548,0.0016952620370298906
Harris(lam=0.0),0.0010146644779084008,0.0016263177127263603
Harris(lam=0.25),0.0010615715925418334,0.0016232591343856
Harris(lam=0.5),0.000955976952412152,0.001580144234428326
Harris(lam=0.75),0.0009590068648941086,0.0016436001680013171
Harris(lam=1.0),0.0009888094222648813,0.0016749909118843511
Harris,0.000955976952412152,0.001580144234428326
RandomBaseline,0.019605677741981027,0.015886640632173033
