approach,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
AR,0.016436240750808413,0.0040595991136459265,0.00042325326871981204,0.00015309528653349337,0.0,0.0,0.0,0.0,0.0,0.0
MR,0.016436240750808413,0.003875335308962131,0.00042325326871981204,0.00015309528653349337,0.0,0.0,0.0,0.0,0.0,0.0
SW,0.016436240750808413,0.0071395983008304634,0.00042325326871981204,0.00015309528653349337,0.0,0.0,0.0,0.0,0.0,0.0
RegressorOnP,0.00678577198888179,0.002693723482207837,0.0006376107313208568,0.00015309528653349337,0.0,0.0,0.0,0.0,0.0,0.0
RegressorOnR,0.0077126548058338166,0.00182855718054437,0.00032458726677788265,0.0001441737342922389,0.0001441737342922389,0.0,0.0,0.0,0.0,0.0
Harris(lam=0.0),0.008180156838377427,0.0015075011431136343,0.00030589151105945065,0.00015309528653349337,0.0,0.0,0.0,0.0,0.0,0.0
Harris(lam=0.25),0.008819964515280738,0.001336764612544652,0.00030589151105945065,0.00015309528653349337,0.0,0.0,0.0,0.0,0.0,0.0
Harris(lam=0.5),0.007614227290654625,0.0014865554358739486,0.00030589151105945065,0.00015309528653349337,0.0,0.0,0.0,0.0,0.0,0.0
Harris(lam=0.75),0.0073102140871921725,0.0018208677641559689,0.00030589151105945065,0.00015309528653349337,0.0,0.0,0.0,0.0,0.0,0.0
Harris(lam=1.0),0.007445370170889227,0.0018208677641559689,0.00032458726677788265,0.00015309528653349337,0.0001441737342922389,0.0,0.0,0.0,0.0,0.0
Harris,0.007614227290654625,0.0014865554358739486,0.00030589151105945065,0.00015309528653349337,0.0,0.0,0.0,0.0,0.0,0.0
RandomBaseline,0.08793570308094206,0.044141365743618086,0.023874630384109963,0.016387059537939175,0.009583857690478132,0.007135506536644889,0.004138214454508535,0.002183637533355014,0.0006768024582143917,0.0
