approach,mean_spearman,std_spearman
AR,0.7483636363636365,0.29971780109479307
MR,0.7464534327556724,0.30689728093139546
SW,0.7405909343606712,0.29708257803675964
RegressorOnP,0.8383030303030301,0.19225630213477438
RegressorOnR,0.8402857805568676,0.17246772265327262
Harris(lam=0.0),0.8303030303030302,0.16099240587594058
Harris(lam=0.25),0.8344242424242423,0.1530408771918142
Harris(lam=0.5),0.8397575757575757,0.1357577966249639
Harris(lam=0.75),0.8392727272727272,0.1396880015151023
Harris(lam=1.0),0.8368484848484848,0.13262780672772903
Harris,0.8397575757575757,0.1357577966249639
RandomBaseline,0.007030303030303036,0.34074155988004445
