algorithm,mean_rank,median_rank,std_rank,best_rank,worst_rank,wins_rank1,top3_count
minilm_mlp,2.32,2.0,1.9942775276131595,1.0,9.0,24,43
tfidf_char_svm,2.74,3.0,1.440096368657462,1.0,7.0,10,39
tfidf_word_lr,3.04,3.0,1.6898254951567135,1.0,6.0,12,33
minilm_lr,4.14,4.0,1.9898723166913734,1.0,10.0,2,16
hatebert_lr,5.24,5.0,2.1998144634194463,1.0,10.0,2,11
tfidf_nb,6.44,7.0,2.110807950544443,2.0,10.0,0,3
mbert_lr,7.28,7.0,1.750102037841549,4.0,10.0,0,0
svd_rf,7.58,8.0,1.9282010226305424,2.0,10.0,0,3
svd_histgb,7.88,8.0,1.8365895634272225,3.0,10.0,0,1
svd_knn,8.34,9.0,1.7567363060458425,2.0,10.0,0,1
