algorithm,tfidf_word_lr,tfidf_char_svm,tfidf_nb,svd_rf,svd_histgb,svd_knn,minilm_lr,minilm_mlp,hatebert_lr,mbert_lr,row_total_sig_wins
tfidf_word_lr,0.0,5.0,35.0,48.0,50.0,50.0,21.0,11.0,29.0,37.0,286.0
tfidf_char_svm,14.0,0.0,35.0,42.0,45.0,47.0,22.0,9.0,29.0,43.0,286.0
tfidf_nb,0.0,2.0,0.0,20.0,22.0,31.0,6.0,5.0,11.0,17.0,114.0
svd_rf,0.0,0.0,7.0,0.0,9.0,19.0,5.0,4.0,6.0,13.0,63.0
svd_histgb,0.0,0.0,6.0,3.0,0.0,13.0,5.0,4.0,5.0,11.0,47.0
svd_knn,0.0,0.0,0.0,4.0,6.0,0.0,3.0,3.0,4.0,4.0,24.0
minilm_lr,12.0,7.0,31.0,36.0,39.0,40.0,0.0,0.0,19.0,32.0,216.0
minilm_mlp,17.0,15.0,38.0,44.0,44.0,45.0,29.0,0.0,37.0,45.0,314.0
hatebert_lr,6.0,1.0,21.0,31.0,32.0,33.0,2.0,0.0,0.0,25.0,151.0
mbert_lr,0.0,0.0,14.0,24.0,27.0,26.0,0.0,0.0,1.0,0.0,92.0
col_total_sig_losses,49.0,30.0,187.0,252.0,274.0,304.0,93.0,36.0,141.0,227.0,
